  ID                   Tag  Name
   0               Cogmind  Cogmind
   1                 Drone  Drone
   2          Target Drone  Target Drone
   3            Mini Drone  Mini Drone
   4         Mapping Drone  Mapping Drone
   5          Sensor Drone  Sensor Drone
   6         Hacking Drone  Hacking Drone
   7     Minesniffer Drone  Minesniffer Drone
   8           Decoy Drone  Decoy Drone
   9          Splice Drone  Splice Drone
  10          Master Drone  Master Drone
  11        Advanced Drone  Advanced Drone
  12         Stealth Drone  Stealth Drone
  13           Trailblazer  Trailblazer
  14           Thief Drone  Thief Drone
  15            Army Drone  Army Drone
  16           Swarm Drone  Swarm Drone
  17          Combat Drone  Combat Drone
  18         Assault Drone  Assault Drone
  19            Bomb Drone  Bomb Drone
  20              Wardrone  Wardrone
  21            DAS Turret  DAS Turret
  22       Autobeam Turret  Autobeam Turret
  23             K-01 Serf  K-01 Serf
  24         U-05 Engineer  U-05 Engineer
  25        T-07 Excavator  T-07 Excavator
  26      A-02 Transporter  A-02 Transporter
  27         A-15 Conveyor  A-15 Conveyor
  28        A-27 Freighter  A-27 Freighter
  29        R-06 Scavenger  R-06 Scavenger
  30        R-10 Processor  R-10 Processor
  31              C-30 ARC  C-30 ARC
  32          M-14 Sweeper  M-14 Sweeper
  33        M-22 Extractor  M-22 Extractor
  34         M-30 Cleanser  M-30 Cleanser
  35        M-13 Machinist  M-13 Machinist
  36            M-28 Smith  M-28 Smith
  37        M-36 Artificer  M-36 Artificer
  38       O-16 Technician  O-16 Technician
  39    O-24 Administrator  O-24 Administrator
  40         O-32 Director  O-32 Director
  41              N-00 Fly  N-00 Fly
  42          N-01 Spotter  N-01 Spotter
  43            W-16 Scout  W-16 Scout
  44         W-25 Informer  W-25 Informer
  45              W-44 Eye  W-44 Eye
  46             S-10 Pest  S-10 Pest
  47            S-27 Virus  S-27 Virus
  48           S-43 Plague  S-43 Plague
  49           C-17 Slicer  C-17 Slicer
  50           C-35 Carver  C-35 Carver
  51        C-57 Dissector  C-57 Dissector
  52              E-15 Imp  E-15 Imp
  53        G-34 Mercenary  G-34 Mercenary
  54          G-47 Trooper  G-47 Trooper
  55          G-50 Soldier  G-50 Soldier
  56          G-67 Veteran  G-67 Veteran
  57         G-73 Enforcer  G-73 Enforcer
  58          B-36 Bruiser  B-36 Bruiser
  59        B-48 Gladiator  B-48 Gladiator
  60          B-60 Warrior  B-60 Warrior
  61         B-74 Champion  B-74 Champion
  62            L-31 Rogue  L-31 Rogue
  63          L-41 Fighter  L-41 Fighter
  64        L-61 Swordsman  L-61 Swordsman
  65           I-25 Savior  I-25 Savior
  66            I-36 Angel  I-36 Angel
  67        I-47 Archangel  I-47 Archangel
  68          C-55 Analyst  C-55 Analyst
  69           C-65 Expert  C-65 Expert
  70         Y-45 Defender  Y-45 Defender
  71         Y-54 Guardian  Y-54 Guardian
  72         Y-64 Sentinel  Y-64 Sentinel
  73           Y-72 Warden  Y-72 Warden
  74        D-53 Grenadier  D-53 Grenadier
  75        D-63 Destroyer  D-63 Destroyer
  76      D-83 Annihilator  D-83 Annihilator
  77       X-57 Shotgunner  X-57 Shotgunner
  78         X-62 Marksman  X-62 Marksman
  79      X-67 Chaingunner  X-67 Chaingunner
  80        X-72 Disruptor  X-72 Disruptor
  81           X-77 Beamer  X-77 Beamer
  82        X-82 Rainmaker  X-82 Rainmaker
  83          X-87 Electro  X-87 Electro
  84         H-55 Commando  H-55 Commando
  85           H-66 Slayer  H-66 Slayer
  86         H-77 Assassin  H-77 Assassin
  87       H-88 Terminator  H-88 Terminator
  88           P-60 Hacker  P-60 Hacker
  89             P-70 Sage  P-70 Sage
  90           P-80 Master  P-80 Master
  91         H-61 Shepherd  H-61 Shepherd
  92          H-71 Marshal  H-71 Marshal
  93         H-81 Overseer  H-81 Overseer
  94              Q-Series  Q-Series
  95            B-75 Beast  B-75 Beast
  96            B-86 Titan  B-86 Titan
  97          B-90 Cyclops  B-90 Cyclops
  98         B-99 Colossus  B-99 Colossus
  99          C-40 Crusher  C-40 Crusher
 100           Cetus Guard  Cetus Guard
 101      Quarantine Guard  Quarantine Guard
 102              S7 Guard  S7 Guard
 103               M Guard  M Guard
 104           M Shell/Atk  M Shell/Atk
 105           M Shell/Def  M Shell/Def
 106        Enhanced Grunt  Enhanced Grunt
 107       Enhanced Sentry  Enhanced Sentry
 108   Enhanced Demolisher  Enhanced Demolisher
 109       Enhanced Hunter  Enhanced Hunter
 110   Enhanced Programmer  Enhanced Programmer
 111     Enhanced Q-Series  Enhanced Q-Series
 112             Lightning  Lightning
 113               Tracker  Tracker
 114     Combat Programmer  Combat Programmer
 115          Investigator  Investigator
 116               Striker  Striker
 117           Executioner  Executioner
 118         Superbehemoth  Superbehemoth
 119               Alpha 7  Alpha 7
 120              Fortress  Fortress
 121                LRC-V4  LRC-V4
 122                LRC-V5  LRC-V5
 123                LRC-V6  LRC-V6
 124               P_Grunt  Protovariant G
 125             P_Duelist  Protovariant L
 126              P_Sentry  Protovariant Y
 127          P_Demolisher  Protovariant D
 128          P_Specialist  Protovariant X
 129              P_Hunter  Protovariant H
 130          P_Programmer  Protovariant P
 131               Artisan  Artisan
 132               Cobbler  Cobbler
 133            Subdweller  Subdweller
 134               Zionite  Zionite
 135          Z-Technician  Z-Technician
 136             Z_Courier  Z-Courier
 137               Z_Recon  Z-Drone
 138             Z_Light_5  Z-Light
 139             Z_Light_7  Z-Light
 140             Z_Light_9  Z-Light
 141             Z_Heavy_5  Z-Heavy
 142             Z_Heavy_7  Z-Heavy
 143             Z_Heavy_9  Z-Heavy
 144        Z_Experiment_8  Z-Experimental
 145       Z_Experiment_10  Z-Experimental
 146            Decomposer  Decomposer
 147               Packrat  Packrat
 148             Samaritan  Samaritan
 149              Tinkerer  Tinkerer
 150              Demented  Demented
 151               Furnace  Furnace
 152              Parasite  Parasite
 153               Thief_5  Thief
 154               Thief_7  Thief
 155             Assembler  Assembler
 156           Assembled_4  Assembled
 157           Assembled_7  Assembled
 158               Golem_8  Golem
 159               Golem_0  Golem
 160             Surgeon_4  Surgeon
 161             Surgeon_6  Surgeon
 162                Wasp_5  Wasp
 163                Wasp_7  Wasp
 164                Thug_5  Thug
 165                Thug_7  Thug
 166              Savage_5  Savage
 167              Savage_7  Savage
 168             Butcher_5  Butcher
 169             Butcher_7  Butcher
 170             Bouncer_7  Bouncer
 171              Martyr_5  Martyr
 172              Martyr_7  Martyr
 173            Guerilla_5  Guerrilla
 174            Guerilla_7  Guerrilla
 175              Wizard_5  Wizard
 176              Wizard_7  Wizard
 177            Marauder_6  Marauder
 178            Marauder_8  Marauder
 179             Fireman_5  Fireman
 180             Fireman_7  Fireman
 181              Mutant_5  Mutant
 182              Mutant_6  Mutant
 183              Mutant_7  Mutant
 184              Mutant_8  Mutant
 185         Infiltrator_6  Infiltrator
 186         Infiltrator_7  Infiltrator
 187         Infiltrator_8  Infiltrator
 188                Sapper  Sapper
 189             Commander  Commander
 190                Knight  Knight
 191                 Troll  Troll
 192                Dragon  Dragon
 193                 Hydra  Hydra
 194               Borebot  Borebot
 195              Revision  Revision
 196               Anomaly  Anomaly
 197    Lesser Abomination  Lesser Abomination
 198     Minor Abomination  Minor Abomination
 199   Greater Abomination  Greater Abomination
 200     Major Abomination  Major Abomination
 201  Ultimate Abomination  Ultimate Abomination
 202     Final Abomination  Final Abomination
 203                Player  Player
 204              Player 2  Player 2
 205                Sauler  Sauler
 206                   Elf  Elf
 207                YI-UF0  YI-UF0
 208                01-MTF  01-MTF
 209        Warlord Statue  Warlord Statue
 210                Warbot  Warbot
 211                5H-AD0  5H-AD0
 212          Surveybot 24  Surveybot 24
 213                AZ-K3N  AZ-K3N
 214                HV-R5K  HV-R5K
 215                7R-MNS  7R-MNS
 216                VL-GR5  VL-GR5
 217                8R-AWN  8R-AWN
 218                EX-BIN  EX-BIN
 219                EX-DEC  EX-DEC
 220                EX-HEX  EX-HEX
 221          Zion_Hero_01  CL-ANK
 222          Zion_Hero_02  1C-UTU
 223          Zion_Hero_03  AD-0RF
 224          Zion_Hero_04  7V-RTL
 225          Zion_Hero_05  P1-3CE
 226          Zion_Hero_06  12-ASH
 227          Zion_Hero_07  ME-RLN
 228          Zion_Hero_08  NK-0LA
 229          Zion_Hero_09  99-TNT
 230           Revision 17  Revision 17
 231         Revision 17++  Revision 17++
 232             Imprinter  Imprinter
 233           Z-Imprinter  Z-Imprinter
 234                    A8  A8
 235                    A7  A7
 236                    A6  A6
 237                    A5  A5
 238                    A4  A4
 239                    A3  A3
 240                    A2  A2
 241                Zhirov  Zhirov
 242                 Perun  Perun
 243                Svarog  Svarog
 244            Data Miner  Data Miner
 245         Fake_God_Mode  God Mode
 246              God_Mode  God Mode
 247               Warlord  Warlord
 248             Warlord_B  Warlord
 249        Warlord AM-PH4  Warlord AM-PH4
 250        Warlord MG-163  Warlord MG-163
 251        Warlord HL-1SK  Warlord HL-1SK
 252        Warlord SH-K8T  Warlord SH-K8T
 253        Warlord D3-CKR  Warlord D3-CKR
 254        Warlord 4Z-XS3  Warlord 4Z-XS3
 255        Warlord KY-Z71  Warlord KY-Z71
 256 Sigix Containment Pod  Sigix Containment Pod
 257     Sigix Exoskeleton  Sigix Exoskeleton
 258         Sigix Warrior  Sigix Warrior
 259               MAINC_A  MAIN.C
 260               MAINC_B  MAIN.C
 261             Architect  Architect
